Rank,Gender,Caste,College_Branch
144074,M,BC_D,BAPATLA ENGINEERING COLLEGE - INF
144777,M,BC_C,BAPATLA ENGINEERING COLLEGE - MEC
145024,M,BC_B,BAPATLA ENGINEERING COLLEGE - MEC
147857,F,BC_E,BAPATLA ENGINEERING COLLEGE - CSM
147906,M,ST,BAPATLA ENGINEERING COLLEGE - MEC
148283,M,BC_E,BAPATLA ENGINEERING COLLEGE - MEC
149504,M,BC_A,BAPATLA ENGINEERING COLLEGE - MEC
150690,M,BC_D,BAPATLA ENGINEERING COLLEGE - MEC
150818,M,OC,BAPATLA ENGINEERING COLLEGE - MEC
151317,F,ST,BAPATLA ENGINEERING COLLEGE - CSM
151345,M,SC,BAPATLA ENGINEERING COLLEGE - MEC
114062,F,OC,BHASKAR  INSTITUTE  OF TECHNOLOGY & SCIENCE - AI
120455,F,BC_A,BHASKAR  INSTITUTE  OF TECHNOLOGY & SCIENCE - AI
131941,F,SC,BHASKAR  INSTITUTE  OF TECHNOLOGY & SCIENCE - CSE
141037,M,BC_A,BHASKAR  INSTITUTE  OF TECHNOLOGY & SCIENCE - CSE
143693,M,OC,BHASKAR  INSTITUTE  OF TECHNOLOGY & SCIENCE - CSE
146098,M,BC_E,BHASKAR  INSTITUTE  OF TECHNOLOGY & SCIENCE - CSE
151001,M,BC_D,BHASKAR  INSTITUTE  OF TECHNOLOGY & SCIENCE - CSE
38867,F,OC,BHEEMA INST OF TECHNOLOGY AND SCI - CIV
50292,F,BC_B,BHEEMA INST OF TECHNOLOGY AND SCI - CIV
125371,F,BC_D,BHEEMA INST OF TECHNOLOGY AND SCI - CSE
133665,M,OC,BHEEMA INST OF TECHNOLOGY AND SCI - CSE
141578,F,BC_E,BHEEMA INST OF TECHNOLOGY AND SCI - CSE
142171,M,BC_A,BHEEMA INST OF TECHNOLOGY AND SCI - CSE
146962,M,BC_A,BHEEMA INST OF TECHNOLOGY AND SCI - ECE
148791,F,BC_B,BHEEMA INST OF TECHNOLOGY AND SCI - CSE
148801,M,SC,BHEEMA INST OF TECHNOLOGY AND SCI - ECE
149559,M,BC_E,BHEEMA INST OF TECHNOLOGY AND SCI - EEE
149945,F,SC,BHEEMA INST OF TECHNOLOGY AND SCI - CSE
116715,M,BC_C,BHIMAVARAM INST. OF ENGG. AND TECHNOLOGY - CSE
133453,F,BC_D,BHIMAVARAM INST. OF ENGG. AND TECHNOLOGY - CSE
135608,M,OC,BHIMAVARAM INST. OF ENGG. AND TECHNOLOGY - CSM
135922,M,BC_B,BHIMAVARAM INST. OF ENGG. AND TECHNOLOGY - CSM
140665,M,BC_D,BHIMAVARAM INST. OF ENGG. AND TECHNOLOGY - CSM
141799,M,SC,BHIMAVARAM INST. OF ENGG. AND TECHNOLOGY - CSM
142294,M,BC_A,BHIMAVARAM INST. OF ENGG. AND TECHNOLOGY - CSM
144227,M,BC_D,BHIMAVARAM INST. OF ENGG. AND TECHNOLOGY - ECE
145838,M,BC_E,BHIMAVARAM INST. OF ENGG. AND TECHNOLOGY - ECE
146654,M,BC_A,BHIMAVARAM INST. OF ENGG. AND TECHNOLOGY - ECE
147553,F,SC,BHIMAVARAM INST. OF ENGG. AND TECHNOLOGY - CSE
147905,F,OC,BHIMAVARAM INST. OF ENGG. AND TECHNOLOGY - CSE
148713,F,BC_B,BHIMAVARAM INST. OF ENGG. AND TECHNOLOGY - CSE
149356,M,OC,BHIMAVARAM INST. OF ENGG. AND TECHNOLOGY - ECE
150880,M,BC_B,BHIMAVARAM INST. OF ENGG. AND TECHNOLOGY - ECE
151397,M,SC,BHIMAVARAM INST. OF ENGG. AND TECHNOLOGY - ECE
18187,F,BC_E,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI. - AIM
21946,F,BC_A,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI. - AIM
30983,F,SC,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI. - AIM
32234,F,BC_C,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI. - AIM
33525,F,BC_B,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI. - AIM
33833,F,OC,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI. - AIM
35653,F,BC_A,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI. - CAD
42638,F,SC,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI. - CAD
42953,F,BC_D,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI. - CAD
45818,F,OC,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI. - CAD
47210,F,BC_B,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI. - CAD
49435,F,SC,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI. - CIV
51901,F,BC_D,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI. - CIV
52923,F,BC_E,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI. - CIV
57369,F,BC_A,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI. - CIV
58047,F,BC_B,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI. - CIV
58371,F,OC,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI. - CIV
98070,M,BC_D,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI. - ECE
98692,F,BC_D,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI. - CSE
106027,M,BC_E,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI. - ECE
106405,F,OC,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI. - CSE
106935,M,OC,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI. - ECE
109047,M,OC,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI. - EEE
109941,F,BC_B,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI. - CSE
111951,F,SC,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI. - CSE
112075,F,BC_A,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI. - CSE
117256,M,BC_C,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI. - EEE
121156,M,BC_D,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI. - EEE
124464,F,ST,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI. - ECE
129975,F,BC_A,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI. - ECE
134661,M,BC_E,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI. - EEE
136677,M,BC_A,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI. - EEE
144745,M,BC_B,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI. - EEE
145239,F,BC_B,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI. - ECE
151475,M,SC,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI. - EEE
151643,F,SC,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI. - ECE
146812,F,BC_D,BRINDAVAN INST OF TECHNOLOGY AND SCI - CSE
148539,M,OC,BRINDAVAN INST OF TECHNOLOGY AND SCI - CSE
148785,M,BC_A,BRINDAVAN INST OF TECHNOLOGY AND SCI - CSE
150773,M,BC_E,BRINDAVAN INST OF TECHNOLOGY AND SCI - CSE
151131,M,BC_B,BRINDAVAN INST OF TECHNOLOGY AND SCI - CSE
151670,M,SC,BRINDAVAN INST OF TECHNOLOGY AND SCI - CSE
125071,M,BC_D,BVC COLLEGE OF ENGINEERING - CSM
125388,M,OC,BVC COLLEGE OF ENGINEERING - CSM
125616,M,SC,BVC COLLEGE OF ENGINEERING - CSM
125829,M,BC_B,BVC COLLEGE OF ENGINEERING - CSM
130266,F,BC_E,BVC COLLEGE OF ENGINEERING - CSE
132359,M,BC_D,BVC COLLEGE OF ENGINEERING - ECE
134239,F,BC_B,BVC COLLEGE OF ENGINEERING - CSE
137317,F,BC_A,BVC COLLEGE OF ENGINEERING - CSE
145814,M,SC,BVC COLLEGE OF ENGINEERING - ECE
146205,F,BC_D,BVC COLLEGE OF ENGINEERING - CSE
146887,M,BC_B,BVC COLLEGE OF ENGINEERING - ECE
147817,M,BC_A,BVC COLLEGE OF ENGINEERING - ECE
148157,F,OC,BVC COLLEGE OF ENGINEERING - CSE
150691,M,OC,BVC COLLEGE OF ENGINEERING - ECE
151089,F,SC,BVC COLLEGE OF ENGINEERING - CSE
28684,F,BC_E,BVSR ENGINEERING COLLEGE - CSD
35235,F,BC_B,BVSR ENGINEERING COLLEGE - CSD
63802,F,BC_A,BVSR ENGINEERING COLLEGE - CSD
92054,F,SC,BVSR ENGINEERING COLLEGE - CSD
93180,F,OC,BVSR ENGINEERING COLLEGE - CSD
107605,M,BC_B,BVSR ENGINEERING COLLEGE - CSE
130692,M,BC_E,BVSR ENGINEERING COLLEGE - ECE
137378,M,BC_B,BVSR ENGINEERING COLLEGE - ECE
139278,F,SC,BVSR ENGINEERING COLLEGE - CSE
142954,M,OC,BVSR ENGINEERING COLLEGE - ECE
146493,F,OC,BVSR ENGINEERING COLLEGE - CSE
146748,F,BC_E,BVSR ENGINEERING COLLEGE - CSE
146876,F,BC_A,BVSR ENGINEERING COLLEGE - CSE
147347,M,BC_A,BVSR ENGINEERING COLLEGE - ECE
148808,F,BC_D,BVSR ENGINEERING COLLEGE - CSE
150740,M,BC_D,BVSR ENGINEERING COLLEGE - ECE
151732,M,SC,BVSR ENGINEERING COLLEGE - ECE
39175,M,ST,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - CSD
44972,M,BC_A,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - CSD
52366,F,BC_B,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - CIC
56600,M,OC,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - CSM
57159,M,BC_A,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - CSM
58730,M,BC_B,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - CSM
59509,F,BC_D,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - CIC
59744.1,M,BC_D,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - CSM
60845,F,OC,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - CIC
72434,M,BC_A,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - CSW
74466,M,SC,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - CSW
76168,F,BC_A,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - CN
77197,F,BC_D,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - CN
78107,F,BC_B,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - CN
84217,M,OC,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - CSW
84577,F,OC,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - CN
90147,M,BC_B,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - CSW
90316,M,BC_D,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - CSW
91572,M,OC,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - EBM
97406,M,BC_A,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - EBM
98757,M,BC_E,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - EBM
98840,F,BC_B,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - CSBS
100080,M,BC_D,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - EBM
100958,M,BC_B,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - EBM
108856,M,OC,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - ECE
113085,F,BC_A,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - CSBS
119017,M,BC_B,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - ECE
119833,M,BC_A,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - ECE
120741,M,BC_D,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - ECE
124579,F,BC_D,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - CSBS
128011,F,BC_B,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - CSD
133273,M,BC_B,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - EII
134624,M,BC_D,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - EII
134986,M,OC,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - EII
135149,M,SC,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - EII
135519,M,BC_A,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - EII
136276,F,SC,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - CSD
143643,F,OC,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - CSD
145172,M,BC_B,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - MEC
145291,F,BC_D,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - CSD
148681,M,SC,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - MEC
149032,M,BC_D,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - MEC
149741,M,BC_A,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - MEC
150731,M,BC_B,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - MII
151650,M,SC,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT - MMM
90300,F,BC_E,CHADALAWADA RAMANAMMA ENGG. COLLEGE - CAI
93727,F,BC_D,CHADALAWADA RAMANAMMA ENGG. COLLEGE - CAI
94840,F,BC_B,CHADALAWADA RAMANAMMA ENGG. COLLEGE - CAI
96523,F,BC_A,CHADALAWADA RAMANAMMA ENGG. COLLEGE - CAI
96728,F,OC,CHADALAWADA RAMANAMMA ENGG. COLLEGE - CAI
114620,M,ST,CHADALAWADA RAMANAMMA ENGG. COLLEGE - CSM
115530,M,BC_E,CHADALAWADA RAMANAMMA ENGG. COLLEGE - CSM
120419,M,OC,CHADALAWADA RAMANAMMA ENGG. COLLEGE - CSM
120598,M,SC,CHADALAWADA RAMANAMMA ENGG. COLLEGE - CSM
120721,M,BC_B,CHADALAWADA RAMANAMMA ENGG. COLLEGE - CSM
120793,M,BC_A,CHADALAWADA RAMANAMMA ENGG. COLLEGE - CSM
121162,M,BC_D,CHADALAWADA RAMANAMMA ENGG. COLLEGE - CSM
143277,M,ST,CHADALAWADA RAMANAMMA ENGG. COLLEGE - ECE
143918,M,BC_E,CHADALAWADA RAMANAMMA ENGG. COLLEGE - ECE
144829,F,BC_A,CHADALAWADA RAMANAMMA ENGG. COLLEGE - CSE
145519,F,BC_D,CHADALAWADA RAMANAMMA ENGG. COLLEGE - CSE
146290,F,BC_B,CHADALAWADA RAMANAMMA ENGG. COLLEGE - CSE
147507,F,SC,CHADALAWADA RAMANAMMA ENGG. COLLEGE - CSE
148224,F,OC,CHADALAWADA RAMANAMMA ENGG. COLLEGE - CSE
149127,M,BC_A,CHADALAWADA RAMANAMMA ENGG. COLLEGE - ECE
149297,M,SC,CHADALAWADA RAMANAMMA ENGG. COLLEGE - ECE
149946,M,BC_D,CHADALAWADA RAMANAMMA ENGG. COLLEGE - ECE
150304,M,BC_B,CHADALAWADA RAMANAMMA ENGG. COLLEGE - ECE
150331,M,OC,CHADALAWADA RAMANAMMA ENGG. COLLEGE - ECE
150417,M,OC,CHADALAWADA RAMANAMMA ENGG. COLLEGE - EEE
150458,M,BC_D,CHADALAWADA RAMANAMMA ENGG. COLLEGE - EEE
150505,M,SC,CHADALAWADA RAMANAMMA ENGG. COLLEGE - EEE
151195,M,BC_A,CHADALAWADA RAMANAMMA ENGG. COLLEGE - EEE
67290,F,BC_A,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY - CAI
76312,F,SC,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY - CAI
79120,F,BC_D,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY - CAI
79230,F,BC_B,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY - CAI
81692,F,OC,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY - CAI
81918,F,BC_E,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY - CAI
82467,F,OC,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY - CIV
85070,M,SC,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY - CSM
96460,F,BC_E,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY - CSD
99193.1,F,BC_B,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY - CSD
99700,F,BC_D,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY - CSD
101315,M,BC_A,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY - CSM
101433,F,SC,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY - CSD
102003,F,OC,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY - CSD
102076,F,BC_A,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY - CSD
103952,M,BC_E,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY - CSM
104182,M,OC,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY - CSM
104946,M,BC_D,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY - CSM
104980,M,BC_B,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY - CSM
112366,F,BC_C,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY - CSE
139801,M,ST,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY - ECE
142977,M,BC_D,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY - ECE
145571,F,SC,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY - CSE
147178,M,BC_A,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY - ECE
147359,F,BC_A,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY - CSE
148191,F,BC_D,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY - CSE
148727,M,SC,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY - ECE
149466,M,BC_B,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY - ECE
149496,M,BC_E,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY - ECE
150152,F,OC,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY - CSE
150368,F,BC_E,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY - CSE
150409,M,OC,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY - ECE
150550,F,BC_B,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY - CSE
151027,M,BC_D,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY - EEE
151161,M,BC_A,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY - EEE
151329,M,SC,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY - EEE
58616,F,BC_B,CHAITANYA ENGINEERING COLLEGE - AID
83678,F,SC,CHAITANYA ENGINEERING COLLEGE - AID
83806,F,BC_D,CHAITANYA ENGINEERING COLLEGE - AID
85330,F,OC,CHAITANYA ENGINEERING COLLEGE - AID
86157,F,BC_A,CHAITANYA ENGINEERING COLLEGE - AID
107846,F,BC_B,CHAITANYA ENGINEERING COLLEGE - AIM
109115,F,SC,CHAITANYA ENGINEERING COLLEGE - AIM
109756,F,BC_A,CHAITANYA ENGINEERING COLLEGE - AIM
110003,F,OC,CHAITANYA ENGINEERING COLLEGE - AIM
111430,F,ST,CHAITANYA ENGINEERING COLLEGE - AIM
111667,F,BC_D,CHAITANYA ENGINEERING COLLEGE - AIM
113565,F,BC_A,CHAITANYA ENGINEERING COLLEGE - CIV
114073,F,BC_B,CHAITANYA ENGINEERING COLLEGE - CIV
116167,F,OC,CHAITANYA ENGINEERING COLLEGE - CIV
118373,F,BC_D,CHAITANYA ENGINEERING COLLEGE - CIV
122269,M,BC_E,CHAITANYA ENGINEERING COLLEGE - ECE
131350,M,BC_A,CHAITANYA ENGINEERING COLLEGE - ECE
131461,M,SC,CHAITANYA ENGINEERING COLLEGE - ECE
133879,M,ST,CHAITANYA ENGINEERING COLLEGE - ECE
134053,M,OC,CHAITANYA ENGINEERING COLLEGE - ECE
134086,M,BC_D,CHAITANYA ENGINEERING COLLEGE - ECE
134930,M,BC_B,CHAITANYA ENGINEERING COLLEGE - ECE
141058,F,OC,CHAITANYA ENGINEERING COLLEGE - CSE
142226,M,BC_A,CHAITANYA ENGINEERING COLLEGE - EEE
143113,M,OC,CHAITANYA ENGINEERING COLLEGE - EEE
144343,M,BC_B,CHAITANYA ENGINEERING COLLEGE - EEE
144439,M,ST,CHAITANYA ENGINEERING COLLEGE - EEE
144964,F,BC_B,CHAITANYA ENGINEERING COLLEGE - CSE
145469,M,SC,CHAITANYA ENGINEERING COLLEGE - EEE
145953,M,BC_D,CHAITANYA ENGINEERING COLLEGE - EEE
147432,M,BC_B,CHAITANYA ENGINEERING COLLEGE - MEC
148759,M,BC_A,CHAITANYA ENGINEERING COLLEGE - MEC
149014,F,BC_D,CHAITANYA ENGINEERING COLLEGE - CSE
149724,F,BC_A,CHAITANYA ENGINEERING COLLEGE - CSE
150019,F,ST,CHAITANYA ENGINEERING COLLEGE - CSE
150821,M,BC_D,CHAITANYA ENGINEERING COLLEGE - MEC
151473,M,SC,CHAITANYA ENGINEERING COLLEGE - MEC
151646,F,SC,CHAITANYA ENGINEERING COLLEGE - CSE
69168,F,BC_D,CHAITANYA INST. OF SCI. AND TECHNOLOGY - AID
82635,F,OC,CHAITANYA INST. OF SCI. AND TECHNOLOGY - AID
86582,F,SC,CHAITANYA INST. OF SCI. AND TECHNOLOGY - AID
93401,F,BC_B,CHAITANYA INST. OF SCI. AND TECHNOLOGY - AIM
96039,F,SC,CHAITANYA INST. OF SCI. AND TECHNOLOGY - AIM
99061,F,OC,CHAITANYA INST. OF SCI. AND TECHNOLOGY - AIM
99767,F,BC_D,CHAITANYA INST. OF SCI. AND TECHNOLOGY - AIM
99946,F,BC_B,CHAITANYA INST. OF SCI. AND TECHNOLOGY - CIV
140135,M,ST,CHAITANYA INST. OF SCI. AND TECHNOLOGY - CSE
142443,M,BC_B,CHAITANYA INST. OF SCI. AND TECHNOLOGY - CSE
146946,M,BC_A,CHAITANYA INST. OF SCI. AND TECHNOLOGY - CSE
147386,F,BC_D,CHAITANYA INST. OF SCI. AND TECHNOLOGY - CSE
149129,F,OC,CHAITANYA INST. OF SCI. AND TECHNOLOGY - CSE
150381,M,BC_D,CHAITANYA INST. OF SCI. AND TECHNOLOGY - ECE
150384,M,OC,CHAITANYA INST. OF SCI. AND TECHNOLOGY - ECE
150563,M,OC,CHAITANYA INST. OF SCI. AND TECHNOLOGY - MEC
150577,M,SC,CHAITANYA INST. OF SCI. AND TECHNOLOGY - MEC
151639,F,SC,CHAITANYA INST. OF SCI. AND TECHNOLOGY - CSE
44539,F,BC_A,CHALAPATHI INST OF ENGG AND TECHNOLOGY - CAI
52617,F,BC_B,CHALAPATHI INST OF ENGG AND TECHNOLOGY - CAI
63519,F,BC_D,CHALAPATHI INST OF ENGG AND TECHNOLOGY - CAI
64174,F,OC,CHALAPATHI INST OF ENGG AND TECHNOLOGY - CAI
85883,F,BC_D,CHALAPATHI INST OF ENGG AND TECHNOLOGY - CIT
86674,F,BC_E,CHALAPATHI INST OF ENGG AND TECHNOLOGY - CIT
87355,F,SC,CHALAPATHI INST OF ENGG AND TECHNOLOGY - CIT
87511,F,BC_B,CHALAPATHI INST OF ENGG AND TECHNOLOGY - CIT
88263,M,BC_A,CHALAPATHI INST OF ENGG AND TECHNOLOGY - CSE
88982,F,BC_A,CHALAPATHI INST OF ENGG AND TECHNOLOGY - CIT
90062,M,SC,CHALAPATHI INST OF ENGG AND TECHNOLOGY - CSE
90155,F,OC,CHALAPATHI INST OF ENGG AND TECHNOLOGY - CIT
95147,M,ST,CHALAPATHI INST OF ENGG AND TECHNOLOGY - CSE
95302,M,BC_B,CHALAPATHI INST OF ENGG AND TECHNOLOGY - CSE
95407,F,BC_A,CHALAPATHI INST OF ENGG AND TECHNOLOGY - CSC
96043,M,BC_D,CHALAPATHI INST OF ENGG AND TECHNOLOGY - CSE
96886,M,OC,CHALAPATHI INST OF ENGG AND TECHNOLOGY - CSE
96961,M,BC_E,CHALAPATHI INST OF ENGG AND TECHNOLOGY - CSE
103530,F,BC_B,CHALAPATHI INST OF ENGG AND TECHNOLOGY - CSC
103791,M,BC_E,CHALAPATHI INST OF ENGG AND TECHNOLOGY - CSM
105878,M,BC_B,CHALAPATHI INST OF ENGG AND TECHNOLOGY - CSM
107484,F,BC_E,CHALAPATHI INST OF ENGG AND TECHNOLOGY - CSC
111384,M,BC_D,CHALAPATHI INST OF ENGG AND TECHNOLOGY - CSM
111562,M,BC_A,CHALAPATHI INST OF ENGG AND TECHNOLOGY - CSM
111971,M,OC,CHALAPATHI INST OF ENGG AND TECHNOLOGY - CSM
112012,F,OC,CHALAPATHI INST OF ENGG AND TECHNOLOGY - CSC
112318,M,SC,CHALAPATHI INST OF ENGG AND TECHNOLOGY - CSM
115343,F,SC,CHALAPATHI INST OF ENGG AND TECHNOLOGY - CSC
118046,F,BC_D,CHALAPATHI INST OF ENGG AND TECHNOLOGY - CSC
120408,M,ST,CHALAPATHI INST OF ENGG AND TECHNOLOGY - ECE
137119,M,BC_E,CHALAPATHI INST OF ENGG AND TECHNOLOGY - ECE
137841,M,BC_C,CHALAPATHI INST OF ENGG AND TECHNOLOGY - ECE
138404,F,BC_D,CHALAPATHI INST OF ENGG AND TECHNOLOGY - CSD
140951,F,BC_E,CHALAPATHI INST OF ENGG AND TECHNOLOGY - CSD
144345,M,OC,CHALAPATHI INST OF ENGG AND TECHNOLOGY - ECE
144760,F,BC_B,CHALAPATHI INST OF ENGG AND TECHNOLOGY - CSD
144880,M,BC_B,CHALAPATHI INST OF ENGG AND TECHNOLOGY - ECE
147654,F,OC,CHALAPATHI INST OF ENGG AND TECHNOLOGY - CSD
148385,F,BC_A,CHALAPATHI INST OF ENGG AND TECHNOLOGY - CSD
148763,M,BC_D,CHALAPATHI INST OF ENGG AND TECHNOLOGY - ECE
148835,M,BC_A,CHALAPATHI INST OF ENGG AND TECHNOLOGY - ECE
148952,M,SC,CHALAPATHI INST OF ENGG AND TECHNOLOGY - ECE
149707,M,OC,CHALAPATHI INST OF ENGG AND TECHNOLOGY - EEE
150604,F,SC,CHALAPATHI INST OF ENGG AND TECHNOLOGY - CSD
150846,M,BC_B,CHALAPATHI INST OF ENGG AND TECHNOLOGY - EEE
151200,M,SC,CHALAPATHI INST OF ENGG AND TECHNOLOGY - EEE
68589,M,OC,CHALAPATHI INST OF TECHNOLOGY - CIV
80071,M,BC_E,CHALAPATHI INST OF TECHNOLOGY - CSC
80919,F,BC_B,CHALAPATHI INST OF TECHNOLOGY - AIM
81176,F,BC_A,CHALAPATHI INST OF TECHNOLOGY - AIM
81753,F,SC,CHALAPATHI INST OF TECHNOLOGY - AIM
84468,M,BC_B,CHALAPATHI INST OF TECHNOLOGY - CSC
84524,M,SC,CHALAPATHI INST OF TECHNOLOGY - CSC
85423,F,BC_E,CHALAPATHI INST OF TECHNOLOGY - AIM
86681,M,BC_A,CHALAPATHI INST OF TECHNOLOGY - CSC
88119,F,BC_D,CHALAPATHI INST OF TECHNOLOGY - AIM
88693,M,BC_D,CHALAPATHI INST OF TECHNOLOGY - CSC
